=================================================
Project : math_13	start : 19/09/02 13:45
Current failed test : org.apache.commons.math3.optimization.fitting.PolynomialFitterTest::testLargeSample | 19/09/02 13:46
Mon Sep 02 14:07:43 EDT 2019 org.apache.commons.math3.optimization.fitting.PolynomialFitter,63
Mon Sep 02 15:12:26 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,131
Mon Sep 02 15:12:28 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,132
Mon Sep 02 15:12:29 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,135
Mon Sep 02 15:12:31 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,136
Mon Sep 02 15:12:32 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,139
Mon Sep 02 15:12:35 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,153
Mon Sep 02 15:13:29 EDT 2019 Mon Sep 02 15:13:29 EDT 2019 : org.apache.commons.math3.optimization.fitting.CurveFitter,210=>Find no block
Mon Sep 02 15:13:30 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,211
Mon Sep 02 15:13:36 EDT 2019 Mon Sep 02 15:13:36 EDT 2019 : org.apache.commons.math3.optimization.fitting.CurveFitter,212=>Find no block
Mon Sep 02 15:13:37 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,176
Mon Sep 02 15:16:18 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,177
Mon Sep 02 15:16:20 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,178
Mon Sep 02 15:21:16 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,179
Mon Sep 02 15:29:52 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,180
Mon Sep 02 15:29:54 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,181
Mon Sep 02 15:29:56 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,182
Mon Sep 02 15:29:58 EDT 2019 Mon Sep 02 15:29:58 EDT 2019 : org.apache.commons.math3.optimization.fitting.CurveFitter,183=>Find no block
Mon Sep 02 15:29:59 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,187
Mon Sep 02 15:30:55 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,189
Mon Sep 02 15:30:57 EDT 2019 org.apache.commons.math3.optimization.fitting.WeightedObservedPoint,59
Mon Sep 02 15:31:03 EDT 2019 org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,423
Mon Sep 02 15:32:54 EDT 2019 Mon Sep 02 15:32:54 EDT 2019 : org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,62=>Find no block
Mon Sep 02 15:32:56 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,109
Mon Sep 02 15:33:46 EDT 2019 Mon Sep 02 15:33:46 EDT 2019 : org.apache.commons.math3.optimization.fitting.CurveFitter,110=>Find no block
Mon Sep 02 15:33:48 EDT 2019 org.apache.commons.math3.optimization.fitting.WeightedObservedPoint,73
Mon Sep 02 15:39:33 EDT 2019 Mon Sep 02 15:39:33 EDT 2019 : org.apache.commons.math3.optimization.fitting.WeightedObservedPoint,49=>Find no block
Mon Sep 02 15:39:35 EDT 2019 org.apache.commons.math3.optimization.fitting.WeightedObservedPoint,50
Mon Sep 02 15:49:47 EDT 2019 org.apache.commons.math3.optimization.fitting.WeightedObservedPoint,51
Mon Sep 02 15:49:55 EDT 2019 org.apache.commons.math3.optimization.fitting.WeightedObservedPoint,52
Mon Sep 02 15:50:02 EDT 2019 Mon Sep 02 15:50:02 EDT 2019 : org.apache.commons.math3.optimization.fitting.WeightedObservedPoint,53=>Find no block
Mon Sep 02 15:50:07 EDT 2019 Mon Sep 02 15:50:07 EDT 2019 : org.apache.commons.math3.optimization.fitting.CurveFitter,69=>Find no block
Mon Sep 02 15:50:09 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,70
Mon Sep 02 15:51:00 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,71
Mon Sep 02 15:51:03 EDT 2019 org.apache.commons.math3.optimization.fitting.CurveFitter,72
Mon Sep 02 15:51:10 EDT 2019 Mon Sep 02 15:51:10 EDT 2019 : org.apache.commons.math3.optimization.fitting.CurveFitter,73=>Find no block
Mon Sep 02 15:51:12 EDT 2019 org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,158
Mon Sep 02 15:51:24 EDT 2019 Mon Sep 02 15:51:24 EDT 2019 : org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,159=>Find no block
Mon Sep 02 15:51:28 EDT 2019 org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,270
Mon Sep 02 15:56:52 EDT 2019 org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,271
Mon Sep 02 15:56:57 EDT 2019 org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,272
Mon Sep 02 15:57:02 EDT 2019 org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,273
Mon Sep 02 15:57:11 EDT 2019 org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,274
Mon Sep 02 15:57:23 EDT 2019 org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,275
Mon Sep 02 15:57:30 EDT 2019 Mon Sep 02 15:57:30 EDT 2019 : org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,276=>Find no block
Mon Sep 02 15:57:38 EDT 2019 org.apache.commons.math3.linear.MatrixUtils,401
Mon Sep 02 16:57:28 EDT 2019 org.apache.commons.math3.linear.MatrixUtils,402
Mon Sep 02 16:57:30 EDT 2019 org.apache.commons.math3.linear.MatrixUtils,403
Mon Sep 02 16:57:32 EDT 2019 org.apache.commons.math3.util.FastMath,3532
Mon Sep 02 17:06:38 EDT 2019 org.apache.commons.math3.util.FastMath,3535
Mon Sep 02 17:15:17 EDT 2019 org.apache.commons.math3.util.FastMath,3539
Mon Sep 02 17:19:15 EDT 2019 org.apache.commons.math3.util.FastMath,3544
Mon Sep 02 17:37:00 EDT 2019 org.apache.commons.math3.util.FastMath,3545
Mon Sep 02 17:37:02 EDT 2019 org.apache.commons.math3.util.FastMath,3548
Mon Sep 02 17:54:52 EDT 2019 Mon Sep 02 17:54:52 EDT 2019 : org.apache.commons.math3.linear.AbstractRealMatrix,56=>Find no block
Mon Sep 02 17:54:54 EDT 2019 Mon Sep 02 17:54:54 EDT 2019 : org.apache.commons.math3.linear.AbstractRealMatrix,47=>Find no block
Mon Sep 02 17:54:55 EDT 2019 Mon Sep 02 17:54:55 EDT 2019 : org.apache.commons.math3.linear.AbstractRealMatrix,50=>Find no block
Mon Sep 02 17:54:57 EDT 2019 Mon Sep 02 17:54:57 EDT 2019 : org.apache.commons.math3.linear.AbstractRealMatrix,51=>Find no block
Mon Sep 02 17:54:59 EDT 2019 org.apache.commons.math3.linear.AbstractRealMatrix,616
Mon Sep 02 17:55:05 EDT 2019 Mon Sep 02 17:55:05 EDT 2019 : org.apache.commons.math3.linear.RealLinearOperator,53=>Find no block
Mon Sep 02 17:55:07 EDT 2019 Mon Sep 02 17:55:07 EDT 2019 : org.apache.commons.math3.linear.MatrixUtils,52=>Find no block
Mon Sep 02 17:55:08 EDT 2019 Mon Sep 02 17:55:08 EDT 2019 : org.apache.commons.math3.linear.MatrixUtils,58=>Find no block
Mon Sep 02 17:55:10 EDT 2019 org.apache.commons.math3.linear.MatrixUtils,391
Mon Sep 02 18:06:55 EDT 2019 org.apache.commons.math3.linear.MatrixUtils,392
Mon Sep 02 18:06:57 EDT 2019 org.apache.commons.math3.linear.MatrixUtils,399
Mon Sep 02 18:49:38 EDT 2019 org.apache.commons.math3.linear.MatrixUtils,400
Mon Sep 02 18:49:40 EDT 2019 org.apache.commons.math3.linear.MatrixUtils,413
Timeout time : 19/09/02 19:07
