=================================================
Project : math_48	start : 19/09/02 13:45
Current failed test : org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest::testIssue631 | 19/09/02 13:45
Mon Sep 02 13:46:29 EDT 2019 org.apache.commons.math.exception.util.ExceptionContext,116
Mon Sep 02 14:36:14 EDT 2019 Mon Sep 02 14:36:14 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,44=>Find no block
Mon Sep 02 14:36:16 EDT 2019 Mon Sep 02 14:36:16 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,45=>Find no block
Mon Sep 02 14:36:17 EDT 2019 Mon Sep 02 14:36:17 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,46=>Find no block
Mon Sep 02 14:36:18 EDT 2019 Mon Sep 02 14:36:18 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,47=>Find no block
Mon Sep 02 14:36:19 EDT 2019 Mon Sep 02 14:36:19 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,48=>Find no block
Mon Sep 02 14:36:20 EDT 2019 Mon Sep 02 14:36:20 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,49=>Find no block
Mon Sep 02 14:36:21 EDT 2019 Mon Sep 02 14:36:21 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,50=>Find no block
Mon Sep 02 14:36:22 EDT 2019 Mon Sep 02 14:36:22 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,51=>Find no block
Mon Sep 02 14:36:23 EDT 2019 Mon Sep 02 14:36:23 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,52=>Find no block
Mon Sep 02 14:36:24 EDT 2019 Mon Sep 02 14:36:24 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,53=>Find no block
Mon Sep 02 14:36:25 EDT 2019 Mon Sep 02 14:36:25 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,54=>Find no block
Mon Sep 02 14:36:26 EDT 2019 Mon Sep 02 14:36:26 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,55=>Find no block
Mon Sep 02 14:36:28 EDT 2019 Mon Sep 02 14:36:28 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,56=>Find no block
Mon Sep 02 14:36:29 EDT 2019 Mon Sep 02 14:36:29 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,57=>Find no block
Mon Sep 02 14:36:29 EDT 2019 Mon Sep 02 14:36:29 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,58=>Find no block
Mon Sep 02 14:36:31 EDT 2019 Mon Sep 02 14:36:31 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,59=>Find no block
Mon Sep 02 14:36:32 EDT 2019 Mon Sep 02 14:36:32 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,60=>Find no block
Mon Sep 02 14:36:33 EDT 2019 Mon Sep 02 14:36:33 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,61=>Find no block
Mon Sep 02 14:36:34 EDT 2019 Mon Sep 02 14:36:34 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,62=>Find no block
Mon Sep 02 14:36:35 EDT 2019 Mon Sep 02 14:36:35 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,63=>Find no block
Mon Sep 02 14:36:36 EDT 2019 Mon Sep 02 14:36:36 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,64=>Find no block
Mon Sep 02 14:36:37 EDT 2019 Mon Sep 02 14:36:37 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,65=>Find no block
Mon Sep 02 14:36:38 EDT 2019 Mon Sep 02 14:36:38 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,66=>Find no block
Mon Sep 02 14:36:39 EDT 2019 Mon Sep 02 14:36:39 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,67=>Find no block
Mon Sep 02 14:36:40 EDT 2019 Mon Sep 02 14:36:40 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,68=>Find no block
Mon Sep 02 14:36:41 EDT 2019 Mon Sep 02 14:36:41 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,69=>Find no block
Mon Sep 02 14:36:42 EDT 2019 Mon Sep 02 14:36:42 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,70=>Find no block
Mon Sep 02 14:36:44 EDT 2019 Mon Sep 02 14:36:44 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,71=>Find no block
Mon Sep 02 14:36:45 EDT 2019 Mon Sep 02 14:36:45 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,72=>Find no block
Mon Sep 02 14:36:46 EDT 2019 Mon Sep 02 14:36:46 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,73=>Find no block
Mon Sep 02 14:36:47 EDT 2019 Mon Sep 02 14:36:47 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,74=>Find no block
Mon Sep 02 14:36:48 EDT 2019 Mon Sep 02 14:36:48 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,75=>Find no block
Mon Sep 02 14:36:49 EDT 2019 Mon Sep 02 14:36:49 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,76=>Find no block
Mon Sep 02 14:36:50 EDT 2019 Mon Sep 02 14:36:50 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,77=>Find no block
Mon Sep 02 14:36:51 EDT 2019 Mon Sep 02 14:36:51 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,78=>Find no block
Mon Sep 02 14:36:52 EDT 2019 Mon Sep 02 14:36:52 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,79=>Find no block
Mon Sep 02 14:36:53 EDT 2019 Mon Sep 02 14:36:53 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,80=>Find no block
Mon Sep 02 14:36:55 EDT 2019 Mon Sep 02 14:36:55 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,81=>Find no block
Mon Sep 02 14:36:56 EDT 2019 Mon Sep 02 14:36:56 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,82=>Find no block
Mon Sep 02 14:36:57 EDT 2019 Mon Sep 02 14:36:57 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,83=>Find no block
Mon Sep 02 14:36:58 EDT 2019 Mon Sep 02 14:36:58 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,84=>Find no block
Mon Sep 02 14:36:59 EDT 2019 Mon Sep 02 14:36:59 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,85=>Find no block
Mon Sep 02 14:37:00 EDT 2019 Mon Sep 02 14:37:00 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,86=>Find no block
Mon Sep 02 14:37:02 EDT 2019 Mon Sep 02 14:37:02 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,87=>Find no block
Mon Sep 02 14:37:03 EDT 2019 Mon Sep 02 14:37:03 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,88=>Find no block
Mon Sep 02 14:37:04 EDT 2019 Mon Sep 02 14:37:04 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,89=>Find no block
Mon Sep 02 14:37:05 EDT 2019 Mon Sep 02 14:37:05 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,90=>Find no block
Mon Sep 02 14:37:06 EDT 2019 Mon Sep 02 14:37:06 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,91=>Find no block
Mon Sep 02 14:37:07 EDT 2019 Mon Sep 02 14:37:07 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,92=>Find no block
Mon Sep 02 14:37:08 EDT 2019 Mon Sep 02 14:37:08 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,93=>Find no block
Mon Sep 02 14:37:09 EDT 2019 Mon Sep 02 14:37:09 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,94=>Find no block
Mon Sep 02 14:37:11 EDT 2019 Mon Sep 02 14:37:11 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,95=>Find no block
Mon Sep 02 14:37:12 EDT 2019 Mon Sep 02 14:37:12 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,96=>Find no block
Mon Sep 02 14:37:13 EDT 2019 Mon Sep 02 14:37:13 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,97=>Find no block
Mon Sep 02 14:37:14 EDT 2019 Mon Sep 02 14:37:14 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,98=>Find no block
Mon Sep 02 14:37:15 EDT 2019 Mon Sep 02 14:37:15 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,99=>Find no block
Mon Sep 02 14:37:16 EDT 2019 Mon Sep 02 14:37:16 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,100=>Find no block
Mon Sep 02 14:37:18 EDT 2019 Mon Sep 02 14:37:18 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,101=>Find no block
Mon Sep 02 14:37:19 EDT 2019 Mon Sep 02 14:37:19 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,102=>Find no block
Mon Sep 02 14:37:20 EDT 2019 Mon Sep 02 14:37:20 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,103=>Find no block
Mon Sep 02 14:37:21 EDT 2019 Mon Sep 02 14:37:21 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,104=>Find no block
Mon Sep 02 14:37:22 EDT 2019 Mon Sep 02 14:37:22 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,105=>Find no block
Mon Sep 02 14:37:22 EDT 2019 Mon Sep 02 14:37:22 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,106=>Find no block
Mon Sep 02 14:37:23 EDT 2019 Mon Sep 02 14:37:23 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,107=>Find no block
Mon Sep 02 14:37:25 EDT 2019 Mon Sep 02 14:37:25 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,108=>Find no block
Mon Sep 02 14:37:26 EDT 2019 Mon Sep 02 14:37:26 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,109=>Find no block
Mon Sep 02 14:37:27 EDT 2019 Mon Sep 02 14:37:27 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,110=>Find no block
Mon Sep 02 14:37:28 EDT 2019 Mon Sep 02 14:37:28 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,111=>Find no block
Mon Sep 02 14:37:29 EDT 2019 Mon Sep 02 14:37:29 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,112=>Find no block
Mon Sep 02 14:37:30 EDT 2019 Mon Sep 02 14:37:30 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,113=>Find no block
Mon Sep 02 14:37:31 EDT 2019 Mon Sep 02 14:37:31 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,114=>Find no block
Mon Sep 02 14:37:32 EDT 2019 Mon Sep 02 14:37:32 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,115=>Find no block
Mon Sep 02 14:37:33 EDT 2019 Mon Sep 02 14:37:33 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,116=>Find no block
Mon Sep 02 14:37:34 EDT 2019 Mon Sep 02 14:37:34 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,117=>Find no block
Mon Sep 02 14:37:35 EDT 2019 Mon Sep 02 14:37:35 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,118=>Find no block
Mon Sep 02 14:37:36 EDT 2019 Mon Sep 02 14:37:36 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,119=>Find no block
Mon Sep 02 14:37:38 EDT 2019 Mon Sep 02 14:37:38 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,120=>Find no block
Mon Sep 02 14:37:39 EDT 2019 Mon Sep 02 14:37:39 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,121=>Find no block
Mon Sep 02 14:37:40 EDT 2019 Mon Sep 02 14:37:40 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,122=>Find no block
Mon Sep 02 14:37:41 EDT 2019 Mon Sep 02 14:37:41 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,123=>Find no block
Mon Sep 02 14:37:42 EDT 2019 Mon Sep 02 14:37:42 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,124=>Find no block
Mon Sep 02 14:37:43 EDT 2019 Mon Sep 02 14:37:43 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,125=>Find no block
Mon Sep 02 14:37:44 EDT 2019 Mon Sep 02 14:37:44 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,126=>Find no block
Mon Sep 02 14:37:46 EDT 2019 Mon Sep 02 14:37:46 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,127=>Find no block
Mon Sep 02 14:37:47 EDT 2019 Mon Sep 02 14:37:47 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,128=>Find no block
Mon Sep 02 14:37:48 EDT 2019 Mon Sep 02 14:37:48 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,129=>Find no block
Mon Sep 02 14:37:49 EDT 2019 Mon Sep 02 14:37:49 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,130=>Find no block
Mon Sep 02 14:37:50 EDT 2019 Mon Sep 02 14:37:50 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,131=>Find no block
Mon Sep 02 14:37:52 EDT 2019 Mon Sep 02 14:37:52 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,132=>Find no block
Mon Sep 02 14:37:53 EDT 2019 Mon Sep 02 14:37:53 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,133=>Find no block
Mon Sep 02 14:37:54 EDT 2019 Mon Sep 02 14:37:54 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,134=>Find no block
Mon Sep 02 14:37:55 EDT 2019 Mon Sep 02 14:37:55 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,135=>Find no block
Mon Sep 02 14:37:56 EDT 2019 Mon Sep 02 14:37:56 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,136=>Find no block
Mon Sep 02 14:37:57 EDT 2019 Mon Sep 02 14:37:57 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,137=>Find no block
Mon Sep 02 14:37:58 EDT 2019 Mon Sep 02 14:37:58 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,138=>Find no block
Mon Sep 02 14:37:59 EDT 2019 Mon Sep 02 14:37:59 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,139=>Find no block
Mon Sep 02 14:38:01 EDT 2019 Mon Sep 02 14:38:01 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,140=>Find no block
Mon Sep 02 14:38:02 EDT 2019 Mon Sep 02 14:38:02 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,141=>Find no block
Mon Sep 02 14:38:03 EDT 2019 Mon Sep 02 14:38:03 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,142=>Find no block
Mon Sep 02 14:38:04 EDT 2019 Mon Sep 02 14:38:04 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,143=>Find no block
Mon Sep 02 14:38:05 EDT 2019 Mon Sep 02 14:38:05 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,144=>Find no block
Mon Sep 02 14:38:06 EDT 2019 Mon Sep 02 14:38:06 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,145=>Find no block
Mon Sep 02 14:38:07 EDT 2019 Mon Sep 02 14:38:07 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,146=>Find no block
Mon Sep 02 14:38:08 EDT 2019 Mon Sep 02 14:38:08 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,147=>Find no block
Mon Sep 02 14:38:09 EDT 2019 Mon Sep 02 14:38:09 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,148=>Find no block
Mon Sep 02 14:38:10 EDT 2019 Mon Sep 02 14:38:10 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,149=>Find no block
Mon Sep 02 14:38:11 EDT 2019 Mon Sep 02 14:38:11 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,150=>Find no block
Mon Sep 02 14:38:13 EDT 2019 Mon Sep 02 14:38:13 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,151=>Find no block
Mon Sep 02 14:38:14 EDT 2019 Mon Sep 02 14:38:14 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,152=>Find no block
Mon Sep 02 14:38:15 EDT 2019 Mon Sep 02 14:38:15 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,153=>Find no block
Mon Sep 02 14:38:16 EDT 2019 Mon Sep 02 14:38:16 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,154=>Find no block
Mon Sep 02 14:38:17 EDT 2019 Mon Sep 02 14:38:17 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,155=>Find no block
Mon Sep 02 14:38:18 EDT 2019 Mon Sep 02 14:38:18 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,156=>Find no block
Mon Sep 02 14:38:19 EDT 2019 Mon Sep 02 14:38:19 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,157=>Find no block
Mon Sep 02 14:38:20 EDT 2019 Mon Sep 02 14:38:20 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,158=>Find no block
Mon Sep 02 14:38:21 EDT 2019 Mon Sep 02 14:38:21 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,159=>Find no block
Mon Sep 02 14:38:22 EDT 2019 Mon Sep 02 14:38:22 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,160=>Find no block
Mon Sep 02 14:38:23 EDT 2019 Mon Sep 02 14:38:23 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,161=>Find no block
Mon Sep 02 14:38:24 EDT 2019 Mon Sep 02 14:38:24 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,162=>Find no block
Mon Sep 02 14:38:26 EDT 2019 Mon Sep 02 14:38:26 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,163=>Find no block
Mon Sep 02 14:38:27 EDT 2019 Mon Sep 02 14:38:27 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,164=>Find no block
Mon Sep 02 14:38:28 EDT 2019 Mon Sep 02 14:38:28 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,165=>Find no block
Mon Sep 02 14:38:29 EDT 2019 Mon Sep 02 14:38:29 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,166=>Find no block
Mon Sep 02 14:38:31 EDT 2019 Mon Sep 02 14:38:31 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,167=>Find no block
Mon Sep 02 14:38:32 EDT 2019 Mon Sep 02 14:38:32 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,168=>Find no block
Mon Sep 02 14:38:33 EDT 2019 Mon Sep 02 14:38:33 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,169=>Find no block
Mon Sep 02 14:38:35 EDT 2019 Mon Sep 02 14:38:35 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,170=>Find no block
Mon Sep 02 14:38:36 EDT 2019 Mon Sep 02 14:38:36 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,171=>Find no block
Mon Sep 02 14:38:37 EDT 2019 Mon Sep 02 14:38:37 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,172=>Find no block
Mon Sep 02 14:38:39 EDT 2019 Mon Sep 02 14:38:39 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,173=>Find no block
Mon Sep 02 14:38:40 EDT 2019 Mon Sep 02 14:38:40 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,174=>Find no block
Mon Sep 02 14:38:41 EDT 2019 Mon Sep 02 14:38:41 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,175=>Find no block
Mon Sep 02 14:38:42 EDT 2019 Mon Sep 02 14:38:42 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,176=>Find no block
Mon Sep 02 14:38:43 EDT 2019 Mon Sep 02 14:38:43 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,177=>Find no block
Mon Sep 02 14:38:44 EDT 2019 Mon Sep 02 14:38:44 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,178=>Find no block
Mon Sep 02 14:38:46 EDT 2019 Mon Sep 02 14:38:46 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,179=>Find no block
Mon Sep 02 14:38:47 EDT 2019 Mon Sep 02 14:38:47 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,180=>Find no block
Mon Sep 02 14:38:48 EDT 2019 Mon Sep 02 14:38:48 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,181=>Find no block
Mon Sep 02 14:38:49 EDT 2019 Mon Sep 02 14:38:49 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,182=>Find no block
Mon Sep 02 14:38:50 EDT 2019 Mon Sep 02 14:38:50 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,183=>Find no block
Mon Sep 02 14:38:51 EDT 2019 Mon Sep 02 14:38:51 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,184=>Find no block
Mon Sep 02 14:38:52 EDT 2019 Mon Sep 02 14:38:52 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,185=>Find no block
Mon Sep 02 14:38:54 EDT 2019 Mon Sep 02 14:38:54 EDT 2019 : org.apache.commons.math.exception.util.LocalizedFormats,186=>Find no block
